epoch,train_loss,val_acc,sensitivity,specificity,f1_score,auc
1,0.20594300755432673,0.6620355411954766,0.6671403197158081,0.6107142857142858,0.7821740941274469,0.6774232428317686
2,0.1311210882450853,0.6710823909531503,0.6696269982238011,0.6857142857142857,0.7873851294903926,0.7338403958386195
3,0.09505260538841998,0.6827140549273021,0.6799289520426288,0.7107142857142857,0.7958419958419959,0.7481248414108094
4,0.06866018937102386,0.6794830371567043,0.6749555950266429,0.725,0.7929883138564274,0.7665554427810201
5,0.05387728548209582,0.7441033925686591,0.7545293072824156,0.6392857142857142,0.8428571428571429,0.7635625475767571
6,0.037718115374445915,0.7166397415185783,0.7186500888099467,0.6964285714285714,0.8218565915092423,0.7824993656432379
7,0.032693593949079516,0.6956381260096931,0.6941385435168739,0.7107142857142857,0.8057731958762887,0.7812750570921085
8,0.02806767278483936,0.7276252019386107,0.730728241563055,0.6964285714285714,0.8299374621747024,0.7831996955087542
9,0.02447471760013806,0.6869143780290792,0.6827708703374777,0.7285714285714285,0.7986702680241013,0.7830246130423751
10,0.022949932326030518,0.708562197092084,0.7104795737122558,0.6892857142857143,0.8159934720522236,0.7713270743466125
11,0.017900983773038854,0.7182552504038773,0.7207815275310835,0.6928571428571428,0.8231237322515212,0.7711900532859681
12,0.015446056571922133,0.7088852988691438,0.7129662522202487,0.6678571428571428,0.8166836215666328,0.776390510022837
13,0.02087115958066923,0.715670436187399,0.7172291296625222,0.7,0.8210654737698251,0.7767495559502664
14,0.018804398644715548,0.6804523424878837,0.6770870337477798,0.7142857142857143,0.7940012497396376,0.7653653894950521
15,0.01686892622549619,0.6798061389337642,0.6763765541740675,0.7142857142857143,0.7934986455511565,0.7630690180157321
16,0.016691802142720136,0.6949919224555735,0.6930728241563056,0.7142857142857143,0.8052001650846059,0.7649403704643493
17,0.014649545304876353,0.6898222940226171,0.6866785079928952,0.7214285714285714,0.8010774968918359,0.7662496828216188
18,0.014148844597262464,0.7124394184168013,0.7129662522202487,0.7071428571428572,0.8185154975530179,0.7726452676985538
19,0.009951392087220614,0.7092084006462036,0.7097690941385435,0.7035714285714286,0.8161764705882353,0.7722462572951027
20,0.012514375116942185,0.7537964458804524,0.7669626998223801,0.6214285714285714,0.85,0.7711786348642478
21,0.018637313544084985,0.7033925686591276,0.7012433392539964,0.725,0.8113440197287299,0.7767952296371479
22,0.020337862924705925,0.6794830371567043,0.6746003552397869,0.7285714285714285,0.792901878914405,0.7725463080436438
23,0.016822330803344294,0.7382875605815832,0.7477797513321492,0.6428571428571429,0.8386454183266933,0.7765649581324536
24,0.012105653285730763,0.7560581583198708,0.7669626998223801,0.6464285714285715,0.8511728760102504,0.7749980969297132
25,0.012464339897477267,0.7651050080775444,0.7776198934280639,0.6392857142857142,0.857590597453477,0.7751319462065465
26,0.009556813668625961,0.708562197092084,0.7058614564831261,0.7357142857142858,0.8150123051681706,0.7869297132707433
27,0.012029362832877918,0.7366720516962844,0.7424511545293073,0.6785714285714286,0.8368368368368369,0.7885650850038061
28,0.011345635758646364,0.7030694668820678,0.7023090586145648,0.7107142857142857,0.8114098091524728,0.7807536158335449
