epoch,train_loss,val_acc,sensitivity,specificity,f1_score,auc
1,0.3154179315500908,0.4379444085326438,0.4250177683013504,0.5678571428571428,0.579036552892762,0.5046908315565032
2,0.2164107025575979,0.6958629605688429,0.736318407960199,0.2892857142857143,0.8149459193706982,0.5416818966392527
3,0.17476367316007188,0.6153846153846154,0.6257995735607675,0.5107142857142857,0.7474533106960951,0.6040930551325008
4,0.14958410300914204,0.5904977375565611,0.5970149253731343,0.525,0.7261724659606656,0.5982853589196873
5,0.13313700349365024,0.5995475113122172,0.603411513859275,0.5607142857142857,0.7326860841423948,0.6013656208752158
6,0.1144370286057375,0.6648351648351648,0.6847903340440654,0.4642857142857143,0.7879779186260478,0.5954195857447456
7,0.11602860435923439,0.6001939237233355,0.6012793176972282,0.5892857142857143,0.7323090240207747,0.630217534775104
8,0.1057270540987443,0.5478345184227538,0.5401563610518835,0.625,0.6848389276864159,0.6257526144786272
9,0.09647553567383071,0.658694246929541,0.6712864250177683,0.5321428571428571,0.7815473727761688,0.649554523301858
10,0.09135923573284115,0.577246283128636,0.5696517412935324,0.6535714285714286,0.7102348249889233,0.6654736521474262
11,0.08926009345459811,0.607950872656755,0.6069651741293532,0.6178571428571429,0.7379563620652408,0.649755051274241
12,0.0804832630885735,0.6199095022624435,0.6236673773987207,0.5821428571428572,0.7490396927016645,0.6413176464615697
13,0.07615803090159069,0.5846800258564965,0.5824449182658138,0.6071428571428571,0.7183870260793338,0.6391486445324398
14,0.07163698058275503,0.6202327084680026,0.6240227434257285,0.5821428571428572,0.7493065927032216,0.6472053000304601
15,0.07379853061678585,0.5675500969618616,0.562544420753376,0.6178571428571429,0.7029307282415631,0.6429212356584426
16,0.06848173683146032,0.6473820297349709,0.6577825159914712,0.5428571428571428,0.7723763822240768,0.6505330490405118
17,0.06022509526001533,0.6415643180349063,0.648542999289268,0.5714285714285714,0.7669678503887372,0.659579652756625
18,0.05700376273294468,0.6224951519069166,0.6261549395877755,0.5857142857142857,0.7510656436487638,0.6514392324093816
19,0.053978826177568044,0.6376858435681965,0.6439232409381663,0.575,0.7637513171759747,0.663168849629404
20,0.046768591734239154,0.6218487394957983,0.6250888415067519,0.5892857142857143,0.7504266211604096,0.6572888110468067
21,0.05603132463578461,0.6127989657401423,0.6194029850746269,0.5464285714285714,0.7442356959863364,0.6304129860899584
22,0.05601867693534691,0.6231415643180349,0.6304193319118693,0.55,0.7526516758591429,0.6482244390293431
23,0.06538065355637632,0.5720749838396897,0.5660980810234542,0.6321428571428571,0.706430155210643,0.6432010864047111
24,0.05431893252649333,0.612152553329024,0.6154939587775409,0.5785714285714286,0.7427101200686106,0.6447101228551121
25,0.046686491360871225,0.5963154492566257,0.5941719971570718,0.6178571428571429,0.7280644458959286,0.6436224489795919
26,0.04425753598402992,0.6001939237233355,0.6005685856432125,0.5964285714285714,0.7320771063461122,0.6430906691034624
27,0.040568939931624054,0.6480284421460892,0.6595593461265103,0.5321428571428571,0.7731722557800458,0.6446263580058889
28,0.04343757503840919,0.5656108597285068,0.5561478322672353,0.6607142857142857,0.699597675458203,0.658375215757945
29,0.04174748910107851,0.6224951519069166,0.6215351812366737,0.6321428571428571,0.7496785255036433,0.6798602650015229
30,0.04705055873701099,0.6157078215901746,0.6165600568585643,0.6071428571428571,0.7447950203906417,0.6724242308863844
31,0.03723534680769674,0.6328377504848093,0.6361051883439943,0.6,0.7591178965224766,0.673224439029343
32,0.04703951111706457,0.6195862960568843,0.6222459132906895,0.5928571428571429,0.7484505236161573,0.6571390496497107
33,0.04878673184003301,0.6464124111182935,0.6570717839374556,0.5392857142857143,0.7717028380634391,0.6467839374555793
34,0.054948883767577957,0.6638655462184874,0.6755508173418621,0.5464285714285714,0.785212722015696,0.6574055741699665
35,0.04363676532436569,0.6680672268907563,0.6794598436389481,0.5535714285714286,0.7882910740053597,0.6600771651944359
36,0.046048606271074155,0.6473820297349709,0.654228855721393,0.5785714285714286,0.7714225853760738,0.6539813686668696
37,0.04162513719261866,0.6383322559793148,0.6428571428571429,0.5928571428571429,0.7637745408486384,0.6615773174941618
38,0.03820819684932398,0.6351001939237233,0.6403695806680881,0.5821428571428572,0.7614620747939996,0.6568839476088943
39,0.03338213350243986,0.6257272139625081,0.6289978678038379,0.5928571428571429,0.7535121328224776,0.6560691440755406
40,0.03817420482822096,0.5846800258564965,0.5788912579957356,0.6428571428571429,0.7171472595201409,0.6566897654584223
41,0.04443750417856283,0.6076276664511958,0.6069651741293532,0.6142857142857143,0.7377969762419007,0.6580782312925171
42,0.03773784205110907,0.6283128636069812,0.6343283582089553,0.5678571428571428,0.7563559322033898,0.6503185602599248
43,0.036358691484555734,0.6063348416289592,0.6062544420753376,0.6071428571428571,0.7369330453563715,0.6584551731140218
44,0.043746539779767155,0.6228183581124758,0.6261549395877755,0.5892857142857143,0.7512257514389256,0.651137171286425
45,0.039568117304916675,0.6073044602456367,0.607320540156361,0.6071428571428571,0.7377509173321821,0.6500901106711341
46,0.04564038616120282,0.616677440206852,0.6222459132906895,0.5607142857142857,0.7470136518771331,0.662811579855823
47,0.04419707684912627,0.59469941822883,0.5884861407249466,0.6571428571428571,0.7253613666228647,0.668883896842319
48,0.04386034588561075,0.6383322559793148,0.6457000710732054,0.5642857142857143,0.7645697454239427,0.6554574068433343
49,0.03409322494331061,0.6441499676793795,0.6535181236673774,0.55,0.7696170747018205,0.6688978576505229
50,0.03528707236391434,0.6237879767291532,0.6286425017768301,0.575,0.7524457677584007,0.6557658137882019
51,0.030433822693952988,0.6315449256625727,0.6343283582089553,0.6035714285714285,0.7579617834394905,0.6632399228348056
52,0.028934935481022637,0.6218487394957983,0.6236673773987207,0.6035714285714285,0.75,0.6672396943852168
53,0.04114262359500038,0.6308985132514544,0.6357498223169865,0.5821428571428572,0.7580508474576271,0.6545144177073814
54,0.029952937707118356,0.6047188106011635,0.6019900497512438,0.6321428571428571,0.7347646931251356,0.6604122245913292
55,0.040296046696403374,0.6470588235294118,0.6560056858564322,0.5571428571428572,0.7717391304347826,0.6389887298202863
56,0.0506067638966873,0.6063348416289592,0.6094527363184079,0.575,0.7379518072289156,0.6362409889328866
57,0.041345062750609916,0.612152553329024,0.6130063965884861,0.6035714285714285,0.7419354838709677,0.6575261447862728
58,0.037975143821166964,0.6292824822236587,0.6318407960199005,0.6035714285714285,0.7561131192855624,0.6515572646969235
59,0.043419660837930994,0.6351001939237233,0.6396588486140725,0.5892857142857143,0.7612603087333474,0.6647210376687989
60,0.036465888498276006,0.6370394311570782,0.6403695806680881,0.6035714285714285,0.7624286016500952,0.6643009442583003
61,0.035605639832390866,0.6018099547511312,0.5959488272921108,0.6607142857142857,0.7313563017880506,0.6796540257894201
62,0.032734233336206627,0.62120232708468,0.6226012793176973,0.6071428571428571,0.7493584260051326,0.656911869225302
63,0.03499983559564183,0.6399482870071105,0.6432125088841507,0.6071428571428571,0.7646810308407267,0.6704462381967713
64,0.031101767702631265,0.6551389786683904,0.6595593461265103,0.6107142857142858,0.7767315337936807,0.6659064372017465
65,0.029830401733331048,0.5707821590174531,0.5632551528073916,0.6464285714285715,0.7047576700755892,0.6653708498324703
66,0.03315951472918015,0.6402714932126696,0.6432125088841507,0.6107142857142858,0.7648425945489119,0.671916565133516
67,0.03336244683266219,0.6376858435681965,0.6417910447761194,0.5964285714285714,0.7631523346714557,0.661407249466951
68,0.030065387285819315,0.6680672268907563,0.6794598436389481,0.5535714285714286,0.7882910740053597,0.6625977256574271
69,0.024819482182867305,0.6228183581124758,0.6247334754797441,0.6035714285714285,0.7508007687379885,0.6610442684536502
70,0.029536569933365356,0.6580478345184227,0.6695095948827292,0.5428571428571428,0.7807708246995442,0.6591697126611838
71,0.029391047593092877,0.629928894634777,0.6382373845060412,0.5464285714285714,0.7582858349166139,0.6468651639760382
72,0.032958271980705486,0.6011635423400129,0.5973702914001422,0.6392857142857142,0.7315056570931244,0.6643009442583003
73,0.03449817133104439,0.6506140917905624,0.6584932480454868,0.5714285714285714,0.7741800710256946,0.6588917656614885
74,0.033119332825861644,0.6603102779573368,0.6691542288557214,0.5714285714285714,0.7818144073074528,0.6719933495786374
75,0.029042326292932727,0.6422107304460246,0.6492537313432836,0.5714285714285714,0.7674858223062382,0.6627525637120519
76,0.037027772207792735,0.5694893341952165,0.5565031982942431,0.7,0.7016129032258065,0.6982396690019292
77,0.046910489391208975,0.6415643180349063,0.6478322672352523,0.5785714285714286,0.7667718191377497,0.6736293024672557
78,0.03235171692802409,0.6716224951519069,0.681592039800995,0.5714285714285714,0.7906018136850783,0.6752208346024977
79,0.038291770143497716,0.6680672268907563,0.6780383795309168,0.5678571428571428,0.7879413586619863,0.6765471113818662
80,0.03941951276174678,0.6489980607627667,0.6531627576403696,0.6071428571428571,0.7719445611087778,0.6730340643720175
81,0.029500849833228825,0.6257272139625081,0.6254442075337597,0.6285714285714286,0.7524583155194527,0.6712039293329272
82,0.036077256011651675,0.6305753070458953,0.6289978678038379,0.6464285714285715,0.7559256886611146,0.6816009239516703
83,0.03508176272551734,0.6163542340012929,0.6101634683724236,0.6785714285714286,0.7431291928154079,0.6876193014519241
84,0.03173052506064846,0.629928894634777,0.6311300639658849,0.6178571428571429,0.7562273791781988,0.678403898872982
85,0.03149371720612639,0.5872656755009696,0.5785358919687278,0.675,0.7182881094198103,0.6693776017869834
86,0.021456564764520538,0.6296056884292178,0.6272210376687989,0.6535714285714286,0.7549187339606501,0.6847535282769824
87,0.025998782644744742,0.6318681318681318,0.6332622601279317,0.6178571428571429,0.7578141611737189,0.6725302061122957
88,0.034242724376682306,0.6590174531351002,0.6677327647476902,0.5714285714285714,0.7808019945979638,0.6574639557315464
89,0.03468122155520539,0.6441499676793795,0.6453447050461976,0.6321428571428571,0.7673779843650962,0.6851698141943344
90,0.030712010330572217,0.6092436974789915,0.6041222459132907,0.6607142857142857,0.7376871338685181,0.6820787643415575
91,0.02799114471964525,0.618939883645766,0.6169154228855721,0.6392857142857142,0.74650612771447,0.6767844451213321
92,0.03082322585604725,0.6150614091790563,0.6133617626154939,0.6321428571428571,0.7434848158518199,0.671759188750127
93,0.03176087325843707,0.6302521008403361,0.6325515280739161,0.6071428571428571,0.7568027210884354,0.6689765458422174
94,0.027840601970180904,0.6554621848739496,0.6638237384506042,0.5714285714285714,0.7780091628488129,0.6724235963041933
95,0.03251912137818371,0.6105365223012282,0.6105188343994314,0.6107142857142858,0.7403576815341522,0.6469540054827903
96,0.03562896328183534,0.6289592760180995,0.6318407960199005,0.6,0.7559523809523809,0.6712369276068637
97,0.025441212567320837,0.6412411118293472,0.6453447050461976,0.6,0.7659215520877267,0.6807683521169662
98,0.025768221522788043,0.6011635423400129,0.5966595593461265,0.6464285714285715,0.7312717770034843,0.6735417301248858
99,0.02581760964784538,0.6489980607627667,0.6552949538024165,0.5857142857142857,0.7725178047758693,0.6770040105594477
100,0.032126937904361844,0.6244343891402715,0.6272210376687989,0.5964285714285714,0.7523444160272805,0.6523555690933089
101,0.03794726677328908,0.6700064641241111,0.6840796019900498,0.5285714285714286,0.7903921166084993,0.6476717179409077
102,0.029941324521025246,0.6386554621848739,0.6403695806680881,0.6214285714285714,0.7632359169843287,0.6700883338409991
103,0.034978791191667476,0.6241111829347123,0.6236673773987207,0.6285714285714286,0.7511234752835437,0.6740290892476393
104,0.02861046319355112,0.6221719457013575,0.6247334754797441,0.5964285714285714,0.7504802561366062,0.6810450299522794
105,0.03690599584335558,0.6351001939237233,0.6364605543710021,0.6214285714285714,0.7603481214179579,0.6833485633059194
106,0.02603582902986403,0.6551389786683904,0.6638237384506042,0.5678571428571428,0.7778471788465542,0.6705718854706062
107,0.032534956337287625,0.6603102779573368,0.6677327647476902,0.5857142857142857,0.7814514452069037,0.6721456493044979
108,0.024951805041566466,0.6683904330963154,0.6780383795309168,0.5714285714285714,0.7881040892193308,0.6639544623819678
109,0.04067869191741061,0.6147382029734971,0.6165600568585643,0.5964285714285714,0.7443157443157443,0.6682264696923546
110,0.02464074421963906,0.6257272139625081,0.6257995735607675,0.625,0.7525641025641026,0.6817062645953904
111,0.022781168507813594,0.6279896574014221,0.6304193319118693,0.6035714285714285,0.7550542668652905,0.6766035891968729
112,0.03165678195247163,0.6279896574014221,0.6314854299928927,0.5928571428571429,0.7553666312433581,0.6593029749213118
113,0.03282988838866446,0.6473820297349709,0.6510305614783227,0.6107142857142858,0.7705573080967403,0.6791057467763224
114,0.036619212889913905,0.6060116354234001,0.6023454157782516,0.6428571428571429,0.7355174658277284,0.6771207736826074
